download_ID,species,decimallongitude,decimallatitude,year
bien_366,Loudetia simplex,29.375,-28.375,1919
bien_367,Loudetia simplex,47.516667,-18.916667,1880
bien_368,Loudetia simplex,45.833333,-22.458333,1975
bien_369,Loudetia simplex,29.375,-29.125,1969
bien_370,Loudetia simplex,30.875,-29.625,1992
bien_371,Loudetia simplex,46.41583,-20.56988,2016
bien_372,Loudetia simplex,21.2,8.76666,1983
bien_373,Loudetia simplex,47.116667,-18.316667,1912
bien_374,Loudetia simplex,30.625,-25.125,1971
bien_375,Loudetia simplex,30.375,-25.625,1979
bien_376,Loudetia simplex,27.875,-26.125,1983
bien_377,Loudetia simplex,27.125,-26.625,1981
bien_378,Loudetia simplex,45.138333,-21.318056,2010
bien_379,Loudetia simplex,46.403058,-20.555997,2016
bien_380,Loudetia simplex,44.016667,-22.783333,1934
bien_381,Loudetia simplex,30.125,-25.375,1983
bien_382,Loudetia simplex,45.358361,-22.599028,2017
bien_383,Loudetia simplex,47.466667,-19.166667,1954
bien_384,Loudetia simplex,27.625,-26.875,1944
bien_385,Loudetia simplex,44.533333,-22.9,1975
bien_386,Loudetia simplex,45.833333,-22.458333,1975
bien_387,Loudetia simplex,30.125,-29.375,1917
bien_388,Loudetia simplex,27.125,-25.625,1976
bien_389,Loudetia simplex,47.516667,-18.916667,1955
bien_390,Loudetia simplex,31.125,-25.875,1962
bien_391,Loudetia simplex,47.433333,-19.333333,1964
bien_392,Loudetia simplex,46.95,-22,1975
bien_393,Loudetia simplex,46.633333,-20.583333,1964
bien_394,Loudetia simplex,30.125,-26.125,1905
bien_395,Loudetia simplex,47.25,-20.516667,1968
bien_396,Loudetia simplex,30.625,-25.375,1985
bien_397,Loudetia simplex,28.125,-25.375,1951
bien_398,Loudetia simplex,46.8,-20.55,1956
bien_399,Loudetia simplex,46.611528,-20.581333,2014
bien_400,Loudetia simplex,46.58333,-20.41667,NA
bien_401,Loudetia simplex,28.125,-26.125,1896
bien_402,Loudetia simplex,46.583333,-21.15,1955
bien_403,Loudetia simplex,27.875,-26.125,1940
bien_404,Loudetia simplex,29.625,-29.875,1984
bien_405,Loudetia simplex,44.65,-23.65,1964
bien_406,Loudetia simplex,47.15,-20.25,1964
bien_407,Loudetia simplex,46.916667,-22.916667,1955
bien_408,Loudetia simplex,29.375,-25.625,1979
bien_409,Loudetia simplex,47.083333,-21.433333,1953
bien_410,Loudetia simplex,30.375,-25.375,1997
bien_411,Loudetia simplex,30.875,-25.125,1932
bien_412,Loudetia simplex,30.625,-25.125,1971
bien_413,Loudetia simplex,46.578611,-20.512222,2013
bien_414,Loudetia simplex,47.96138,-18.61333,2005
bien_415,Loudetia simplex,31.125,-25.875,1971
bien_416,Loudetia simplex,27.875,-25.875,1938
bien_417,Loudetia simplex,28.375,-24.625,1924
bien_418,Loudetia simplex,28.625,-25.125,1972
bien_419,Loudetia simplex,28.375,-25.625,1969
bien_420,Loudetia simplex,31.125,-25.875,1971
bien_421,Loudetia simplex,28.375,-26.625,1970
bien_422,Loudetia simplex,30.625,-25.625,1978
bien_423,Loudetia simplex,28.375,-26.625,1971
bien_424,Loudetia simplex,31.125,-25.875,1979
bien_425,Loudetia simplex,30.875,-24.875,1919
bien_426,Loudetia simplex,30.625,-24.875,1984
bien_427,Loudetia simplex,46.833333,-18.416667,1955
bien_428,Loudetia simplex,30.375,-25.625,1904
bien_429,Loudetia simplex,45.359444,-22.564722,1955
bien_430,Loudetia simplex,30.875,-25.375,1974
bien_431,Loudetia simplex,29.875,-31.375,1986
bien_432,Loudetia simplex,28.125,-25.625,1971
bien_433,Loudetia simplex,30.125,-30.625,1977
bien_434,Loudetia simplex,-2.930081,11.745981,1979
bien_435,Loudetia simplex,30.125,-25.625,1904
bien_436,Loudetia simplex,1.366667,10.316667,1998
bien_437,Loudetia simplex,47.016667,-20.116667,1970
bien_438,Loudetia simplex,30.875,-25.875,1992
bien_439,Loudetia simplex,44.891389,-22.762778,1956
bien_440,Loudetia simplex,45.25,-22.75,1954
bien_441,Loudetia simplex,46.930556,-21.957222,2006
bien_442,Loudetia simplex,29.875,-23.875,1957
bien_443,Loudetia simplex,47.066667,-22.35,1962
bien_444,Loudetia simplex,46.588222,-20.5795,2014
bien_445,Loudetia simplex,-7.596574,13.250032,1967
bien_446,Loudetia simplex,47.155556,-20.759722,2016
bien_447,Loudetia simplex,45.182778,-22.552222,1956
bien_448,Loudetia simplex,45.4,-22.55,1956
bien_449,Loudetia simplex,30.125,-25.375,1983
bien_450,Loudetia simplex,47.197246,-18.528597,1954
bien_451,Loudetia simplex,28.625,-25.375,1958
bien_452,Loudetia simplex,30.625,-25.875,1993
bien_453,Loudetia simplex,30.875,-25.375,1931
bien_454,Loudetia simplex,30.125,-25.125,1983
bien_455,Loudetia simplex,28.625,-25.625,1985
bien_456,Loudetia simplex,45.833333,-22.458333,1965
bien_457,Loudetia simplex,47.883333,-18.15,1953
bien_458,Loudetia simplex,30.625,-24.875,1987
bien_459,Loudetia simplex,30.875,-25.125,1972
bien_460,Loudetia simplex,27.875,-26.125,1976
bien_461,Loudetia simplex,31.375,-27.875,1949
bien_462,Loudetia simplex,28.125,-25.375,1987
bien_463,Loudetia simplex,46.8,-20.55,1955
bien_464,Loudetia simplex,27.125,-25.375,1977
bien_465,Loudetia simplex,30.875,-25.375,1973
bien_466,Loudetia simplex,-1.417,11.05,NA
bien_467,Loudetia simplex,46.710833,-20.590556,1975
bien_468,Loudetia simplex,47.311944,-18.728333,1962
bien_469,Loudetia simplex,30.625,-26.375,1984
bien_470,Loudetia simplex,47.866667,-18.533333,1953
bien_471,Loudetia simplex,30.625,-25.375,1985
bien_472,Loudetia simplex,30.125,-23.875,1971
bien_473,Loudetia simplex,46.733333,-19.05,1963
bien_474,Loudetia simplex,47.2869444,-18.6386111,2012
bien_475,Loudetia simplex,47.025556,-21.531111,2010
bien_476,Loudetia simplex,46.56557,-20.60271,2016
bien_477,Loudetia simplex,30.125,-23.875,1945
bien_478,Loudetia simplex,44.533333,-22.9,1956
bien_479,Loudetia simplex,30.875,-25.875,1972
bien_480,Loudetia simplex,30.125,-25.375,1984
bien_481,Loudetia simplex,31.125,-25.875,1976
bien_482,Loudetia simplex,30.875,-24.625,1975
bien_483,Loudetia simplex,30.625,-25.375,2004
bien_484,Loudetia simplex,37.07,-15.35,2007
bien_485,Loudetia simplex,47.15,-20.25,1967
bien_486,Loudetia simplex,29.125,-28.875,1950
bien_487,Loudetia simplex,47.016667,-20.116667,1912
bien_488,Loudetia simplex,47.416667,-19.516667,1955
bien_489,Loudetia simplex,46.890861,-22.135306,2011
bien_490,Loudetia simplex,37.05,-15.39,2007
bien_491,Loudetia simplex,45.1,-22.783333,1956
bien_492,Loudetia simplex,47.416667,-19.383333,1963
bien_493,Loudetia simplex,47.5,-19.166667,1954
bien_494,Loudetia simplex,46.95,-22,1953
bien_495,Loudetia simplex,45.357611,-22.622444,2017
bien_496,Loudetia simplex,31.125,-25.875,1924
bien_497,Loudetia simplex,45.333333,-22.75,1961
bien_498,Loudetia simplex,28.125,-26.125,1929
bien_499,Loudetia simplex,45.3875,-22.541111,1956
bien_500,Loudetia simplex,-7.596574,13.250032,1967
bien_501,Loudetia simplex,28.125,-25.625,1907
bien_502,Loudetia simplex,47.233889,-18.575556,1954
bien_503,Loudetia simplex,46.570361,-20.618222,2016
bien_504,Loudetia simplex,46.41724,-20.56937,2016
bien_505,Loudetia simplex,46.710833,-20.590556,1975
bien_506,Loudetia simplex,1.813883,9.916667,2001
bien_507,Loudetia simplex,30.875,-24.625,1976
bien_508,Loudetia simplex,45.25,-22.75,1956
bien_509,Loudetia simplex,46.577389,-20.605056,2016
bien_510,Loudetia simplex,46.424972,-20.555806,2016
bien_511,Loudetia simplex,1.366667,10.316667,1999
bien_512,Loudetia simplex,1.366667,10.316667,1998
bien_513,Loudetia simplex,46.611528,-20.581333,2014
bien_514,Loudetia simplex,28.375,-25.625,1893
bien_515,Loudetia simplex,28.125,-25.625,1925
bien_516,Loudetia simplex,30.125,-23.625,1959
bien_517,Loudetia simplex,30.875,-24.625,1976
bien_518,Loudetia simplex,29.625,-26.625,1943
